Title,Grid Reference,X (Easting),Y (Northing),Latitude,Longitude,Postcode
Point BN,TL 47994 57888,547994,257888,52.199364,0.16403961,CB1 3FG
Point BO,TL 49458 59196,549458,259196,52.210716,0.18602031,CB5 8AA
BO+1,,550922,260504,52.222068,0.20800101,
BO+2,,552386,261812,52.23342,0.22998171,
BO+3,,553850,263120,52.244772,0.25196241,
BO+4,,555314,264428,52.256124,0.27394311,
BN-1,,546530,256580,52.188012,0.14205891,
BN-2,,545066,255272,52.17666,0.12007821,
BN-3,,543602,253964,52.165308,0.09809751,
BN-4,,542138,252656,52.153956,0.07611681,
BO+1,,550929,260510,52.222068,0.20800101,
BO+2,,552393,261818,52.23342,0.22998171,
BO+3,,553857,263126,52.244772,0.25196241,
BO+4,,555321,264434,52.256124,0.27394311,
BN-1,,546537,256586,52.188012,0.14205891,
BN-2,,545073,255278,52.17666,0.12007821,
BN-3,,543609,253970,52.165308,0.09809751,
BN-4,,542145,252662,52.153956,0.07611681,
